,request,response,pages,name
0,"can you print the document mapa.pdf please, this document has 250 pages",1,250,mapa.pdf
1,"fast, print me the document named result.pdf that has 5000 pages",1,5000,result.pdf
2,"i need the document hayhya.pdf printed by tomorrow morning, it has 1000pages",1,1000,hahya.pdf
3,"print me doc1.pdf, it has 50pages",1,50,doc1.pdf
4,"print calendar.pdf, it has 65 pages",1,65,calendar.pdf
5,"print results.pdf, 73 pages",1,73,results.pdf
6,print me 78 pages of the document named haytal.pdf,1,78,haytal.pdf
7,results.docx has 20 pages can you please print it for me,1,20,results.docx
8,i need ok.pdf printed by the end of this day. the document has 141 pages,1,141,ok.pdf
9,if you print mydoc4.pdf of 8 pages I will give you candy,1,8,mydoc4.pdf
10,print hundred.docx it has five pages,1,5,hundred.docx
11,print five.jpg it has a hundred pages,1,100,five.jpg
12,print gerger.docx of 10 pages,1,10,gerger.docx
13,print this document named doc1 of 67 pages,1,67,doc1
14,"hey chatbot, print doc2.png 50 pages",1,50,doc2.png
15,print the document house.pdf of 60pages,1,60,house.pdf
16,print fan.pdf of ten pages,1,10,fan.pdf
17,chocolate_data.docx has 23 pages. Print it.,1,23,chocolate_data.docx
18,print hundred.pdf it has five pages,1,5,hundred.pdf
19,print five.pdf it has a hundred pages,1,100,five.pdf
20,"print.pdf should be printed, 4 pages now",1,4,print.pdf
21,I want this document named 2018.png printed at 11:00 pm. It has 2000 pages.,1,2000,2018.png
22,Print hiroku.pdf at 01:30 am 20 pages,1,20,hiroku.pdf
23,print jiujitsu.docx 16pm 10pages,1,10,jiujitsu.docx
24,"I need google.pdf printed by 7 am, 70 pages",1,70,google.pdf
25,do you know how to print 5 pages ?,0,-1,
26,"hi, how is your dad ?",0,-1,
27,mylaptot.pdf is a good document of six pages,0,-1,
28,I read a document named kikou. It has 2500 pages.,0,-1,
29,I read a document named kikou. It has 2500pages.,0,-1,
30,print doc1 of 100 pages,0,-1,
31,print this doc of 5 pages,0,-1,
32,can you print doc1,0,-1,
33,how are you,0,-1,
34,hey bot cava,0,-1,
35,bot this is a test,0,-1,
36,"my mom is not home, what do you want from me",0,-1,
37,hello bruv,0,-1,
38,"I am hungry, print me a 3D sandwich of 6 pages",0,-1,
39,hey how are you,0,-1,
40,yo ouf,0,-1,
41,doc1.pdf of 6 pages,0,-1,
42,there is a document in your drawer,0,-1,
43,what does it mean to be a bot ?,0,-1,
44,print doc1.pdf 50 pages 60 pages,0,-1,
45,can you print,0,-1,
46,print doc1.pdf 50 pages 60pages 5pages,0,-1,
47,bot please print this and that and that and that doc of 50 pages,0,-1,
48,Print hiroku.pdf at 01:30 am 20 pages 300pages,0,-1,
49,print jiujitsu.docx by 16 pm 10pages 7pages,0,-1,
50,"please can help you print from the pdf document mapa.pdf please, this document currently has 250 pdf pages",1,250,mapa.pdf
51,"how can you print out the document mapa.pdf pdf please, if this document has approximately 250 pdf pages",1,250,mapa.pdf
52,"please can help you please print the pdf document mapa.pdf please, if this document has approximately 250 pages",1,250,mapa.pdf
53,"can help you please print the xml document mapa.pdf please, this xml document currently has 250 pages",1,250,mapa.pdf
54,"how can you please print the document at mapa.pdf please, if this document has approximately 250 pdf pages",1,250,mapa.pdf
55,"can help you please print out the document mapa.pdf please, and this document currently has approximately 250 pages",1,250,mapa.pdf
56,"can you please print pdf the document mapa.pdf please, pdf this pdf document currently has 250 pdf pages",1,250,mapa.pdf
57,"you can help you print out the document mapa.pdf pdf please, this pdf document has approximately 250 pages",1,250,mapa.pdf
58,"can you print out the document mapa.pdf pdf please, if this pdf document has approximately 250 pdf pages",1,250,mapa.pdf
59,"can you print out the xml document using mapa.pdf please, this xml document currently has 250 pages",1,250,mapa.pdf
60,"can help you print the pdf document using mapa.pdf please, this document currently has approximately 250 pages",1,250,mapa.pdf
61,"can you print please the pdf document please mapa.pdf please, and this document currently has approximately 250 pages",1,250,mapa.pdf
